episode_id	env_time	agent_id	reward	info	done
Test_03_Level_1	1	42	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	43	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	44	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	45	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	46	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	47	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	48	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	1	49	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	0	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	1	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	2	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	3	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	4	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	5	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	6	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	7	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	8	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	9	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	10	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	11	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	12	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	13	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	14	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	15	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	16	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	17	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	18	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	19	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	20	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	21	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	22	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	23	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	24	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	25	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	26	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	27	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	28	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	29	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	30	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	31	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	32	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	33	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	34	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	35	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	36	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	37	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	38	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	39	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	40	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	41	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	42	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	43	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	44	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	45	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	46	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	47	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	48	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	2	49	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	0	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	1	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	2	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	3	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	4	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	5	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	6	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	7	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	8	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	9	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	10	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	11	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	12	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	13	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	14	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	15	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	16	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	17	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	18	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	19	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	20	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	21	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	22	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	23	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	24	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	25	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	26	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	27	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	28	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	29	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	30	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	31	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	32	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	33	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	34	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	35	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	36	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	37	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	38	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	39	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	40	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	41	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	42	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	43	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	44	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	45	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	46	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	47	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	48	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	3	49	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	0	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	1	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	2	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	3	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	4	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	5	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	6	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	7	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	8	0.0	{'action_required': True, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.READY_TO_DEPART: 1>}	False
Test_03_Level_1	4	9	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	10	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	11	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	12	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	13	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	14	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	15	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	16	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	17	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	18	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	19	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	20	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	21	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	22	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	23	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	24	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	25	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	26	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	27	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	28	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	29	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	30	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	31	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	32	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	33	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	34	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	35	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	36	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	37	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	38	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	39	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	40	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	41	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	42	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	43	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	44	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	45	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	46	0.0	{'action_required': False, 'malfunction': 0, 'speed': 1.0, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	47	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.3333333333333333, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	48	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	4	49	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	5	0	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.5, 'state': <TrainState.WAITING: 0>}	False
Test_03_Level_1	5	1	0.0	{'action_required': False, 'malfunction': 0, 'speed': 0.25, 'state': <TrainState.WAITING: 0>}	False
